entry_mode,swing_window,low_tolerance_pct,max_second_low_undercut_pct,min_rebound_pct,breakout_lookahead,breakout_buffer_pct,require_volume_confirmation,volume_multiplier,max_first_low_to_neckline_bars,max_neckline_to_second_low_bars,stop_buffer_pct,reward_risk,max_hold_bars,closed_trades,wins,hit_rate_pct,avg_return_pct,total_return_pct,avg_r_multiple
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,2.5,40,43,20,46.51,-0.044,-1.904,-0.027
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,3.0,20,43,19,44.19,0.039,1.66,0.043
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,2.5,20,43,19,44.19,0.027,1.168,0.028
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,3.0,20,43,19,44.19,0.027,1.168,0.028
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,2.5,20,42,18,42.86,0.023,0.966,0.027
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,2.0,20,42,18,42.86,0.015,0.631,0.019
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,2.0,20,42,18,42.86,0.002,0.104,0.015
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,3.0,20,41,18,43.9,0.035,1.433,0.045
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,2.5,20,41,18,43.9,0.023,0.941,0.029
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,3.0,20,41,18,43.9,0.023,0.941,0.029
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,2.5,40,40,20,50.0,0.022,0.884,0.013
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,2.0,40,40,20,50.0,0.001,0.022,0.001
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,2.0,40,40,20,50.0,-0.021,-0.857,-0.015
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,3.0,40,40,19,47.5,-0.004,-0.144,-0.011
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,3.0,40,40,19,47.5,-0.024,-0.978,-0.02
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,2.5,40,40,19,47.5,-0.031,-1.233,-0.024
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,2.5,40,38,19,50.0,0.009,0.342,0.011
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,2.0,40,38,19,50.0,-0.014,-0.52,-0.002
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,2.0,40,38,19,50.0,-0.037,-1.399,-0.019
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,3.0,40,38,18,47.37,-0.018,-0.686,-0.014
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,3.0,40,38,18,47.37,-0.04,-1.52,-0.025
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,2.5,40,38,18,47.37,-0.047,-1.775,-0.028
