interval,variant,entry_mode,symbol,stock_return_pct,patterns,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple
5m,breakout_base_2r,breakout,COHR,12.0178,30,20,10,6,50.0,30.0,0.1754,3.508,0.053
5m,breakout_base_2r,breakout,WOLF,94.3842,23,19,9,8,47.37,42.11,0.3683,6.997,0.0584
5m,breakout_base_2r,breakout,AEHR,2.6934,31,22,7,6,31.82,27.27,0.157,3.454,0.0164
5m,breakout_base_2r,breakout,PLTR,7.6109,35,23,11,3,47.83,13.04,0.1769,4.069,0.0839
5m,breakout_base_2r,breakout,APP,31.6596,33,23,16,8,69.57,34.78,0.5665,13.029,0.2165
5m,breakout_base_2r,breakout,SOUN,7.5395,41,26,12,9,46.15,34.62,0.2189,5.691,0.1762
5m,breakout_base_2r,breakout,BBAI,26.3158,48,31,18,14,58.06,45.16,0.5554,17.216,0.2658
5m,breakout_base_2r,breakout,AI,18.1357,35,23,11,4,47.83,17.39,0.0207,0.475,-0.0139
5m,breakout_base_2r,breakout,PATH,8.5343,38,24,13,6,54.17,25.0,0.2799,6.717,0.1117
5m,breakout_base_2r,breakout,UPST,4.3854,36,22,12,9,54.55,40.91,0.516,11.351,0.3045
5m,breakout_base_2r,breakout,AFRM,12.9904,36,23,13,5,56.52,21.74,0.1994,4.587,0.0817
5m,breakout_base_2r,breakout,HOOD,27.7936,36,24,14,6,58.33,25.0,0.4852,11.644,0.1925
5m,breakout_base_2r,breakout,COIN,-1.8121,34,23,11,6,47.83,26.09,0.0671,1.544,0.0022
5m,breakout_base_2r,breakout,MARA,17.0801,41,25,16,12,64.0,48.0,0.7727,19.318,0.326
5m,breakout_base_2r,breakout,RIOT,41.3973,43,27,11,10,40.74,37.04,0.2501,6.753,0.053
5m,breakout_base_2r,breakout,CLSK,43.3164,41,25,15,9,60.0,36.0,0.7782,19.456,0.2392
5m,breakout_base_2r,breakout,IREN,38.9593,31,24,13,9,54.17,37.5,0.7664,18.394,0.2437
5m,breakout_base_2r,breakout,CORZ,32.9208,45,27,15,12,55.56,44.44,0.7213,19.476,0.3122
5m,breakout_base_2r,breakout,CIFR,30.7959,30,25,14,10,56.0,40.0,0.6236,15.591,0.2392
5m,breakout_base_2r,breakout,WULF,17.3162,40,25,18,13,72.0,52.0,0.6509,16.272,0.2472
5m,breakout_base_2r,breakout,HIVE,82.5422,41,27,15,9,55.56,33.33,1.0498,28.345,0.2689
5m,breakout_base_2r,breakout,BTDR,52.1777,38,25,19,14,76.0,56.0,1.3364,33.409,0.5068
5m,breakout_base_2r,breakout,HUT,62.2092,39,23,12,10,52.17,43.48,0.6776,15.585,0.2196
5m,breakout_base_2r,breakout,QBTS,49.4544,35,22,15,12,68.18,54.55,1.0233,22.513,0.2909
5m,breakout_base_2r,breakout,QUBT,33.2027,37,25,14,8,56.0,32.0,-0.1998,-4.994,-0.0668
5m,breakout_base_2r,breakout,ARQQ,15.9634,39,28,14,9,50.0,32.14,0.0827,2.317,0.0611
5m,breakout_base_2r,breakout,LAES,22.5525,37,25,14,11,56.0,44.0,0.7358,18.395,0.2588
5m,breakout_base_2r,breakout,QS,23.1156,37,26,15,11,57.69,42.31,0.5118,13.307,0.2065
5m,breakout_base_2r,breakout,ENVX,19.6697,38,27,11,8,40.74,29.63,0.4851,13.099,0.173
5m,breakout_base_2r,breakout,JOBY,32.2599,34,23,13,10,56.52,43.48,0.5447,12.527,0.2465
5m,breakout_base_2r,breakout,ACHR,19.6491,39,23,14,10,60.87,43.48,0.548,12.604,0.2291
5m,breakout_base_2r,breakout,LUNR,75.3101,41,24,18,11,75.0,45.83,0.6883,16.518,0.1879
